dictionaryWordId,dictionaryId,correct,wordType,isWarning,isReference,status,frequency,relevance,warningType,listId,name,creatorUserId,clientComment,search
55576,1000143,-ever,1,1,0,1,1,29,1,1,The National,9220,"Do not use with superlatives (biggest-ever, highest-ever, strongest-ever, first-ever, etc), because they are tautologies.",
4079996,1000143,–,1,0,0,3,1,21,0,3,The National,9161,- tansa-test,—
36873561,1000143,…,1,0,0,3,1,21,0,3,The National,9161,- tansa-test:bweB3AOEQXd4XxiScs9owA,...
54697,1000143,A-bomb,2,1,0,5,1,31,1,5,The National,9217,,
56814,1000143,Abdalla Hamdok,2,0,0,1,1,29,0,1,The National,9223,Former prime minister of Sudan,
56489,1000143,Abdel Fattah El Sisi,2,0,1,1,1,21,0,1,The National,9220,Egyptian President,Abdel Fattah Al Sisi
169754,1000143,Abdul Hamid Dbeibah,3,0,0,1,1,21,0,1,The National,9162,Disputed prime minister of Libya.,Abdulhamid Dabaiba
36943657,1000143,Abdulkader Husrieh,3,0,0,1,1,29,0,1,The National,30889,Governor of the Syrian Central Bank,
2978127,1000143,Abdullah Al Lafi,3,0,0,1,1,29,0,1,The National,27299,Deputy in Libya’s Presidential Council,
2978128,1000143,Abiy Ahmed,3,0,0,1,1,29,0,1,The National,27299,Prime Minister of Ethiopia. Mr Abiy on second mention.,
2978193,1000143,Abraham Accords,3,1,0,1,1,29,1,1,The National,27299,"Not Accord. They established ties with Israel, they did not normalise them.",
55174,1000143,Abu Dhabi National Energy Company,2,0,1,1,1,21,0,1,The National,9220,"Known as Taqa. Use Abu Dhabi National Energy Company on first reference, then Taqa.",Taqa
55175,1000143,Abu Dhabi Securities Exchange,2,0,1,1,1,21,0,1,The National,9220,ADX on further reference; no parentheses required.,ADX
2978129,1000143,Abu Mahdi Al Muhandis,3,0,0,1,1,29,0,1,The National,27299,"Leader of Iran-backed Iraqi militia Kataib Hezbollah, and deputy commander of the Popular Mobilisation Forces umbrella group of militias. He died alongside Iranian Quds Force general Qassem Suleimani in a US drone assassination at Baghdad Airport in January 2020.",
36075381,1000143,Abuagla Keikal,2,0,0,3,1,29,0,3,The National,9161,- tansa-test,
55176,1000143,accede,1,1,0,1,1,29,1,1,The National,9220,"Agree to a demand, request, or treaty; assume an office or position.""Elizabeth I&nbsp;acceded to&nbsp;the throne in 1558.""but""Elizabeth I ascended the throne in 1558.""",
55095,1000143,actor,1,0,0,4,1,21,0,4,The National,9217,Olympic games 2018,thespian
56756,1000143,ad nauseam,1,0,0,1,2,29,0,1,The National,9217,Not ad nauseum,
55336,1000143,"AD, BC",2,0,1,1,1,29,0,1,The National,9220,"AD precedes the year but follows centuries. BC follows the year (AD 1066, fourth century AD, 700 BC). Centuries are assumed to be AD unless BC is used.",
2978130,1000143,Adel Al Jubeir,3,0,0,1,1,29,0,1,The National,27299,Saudi Minister of State for Foreign Affairs. The Minister of Foreign Affairs is Prince Faisal bin Farhan.,
55185,1000143,ADGM,2,0,1,1,1,29,0,1,The National,9220,"The Abu Dhabi Global Market on first reference. It is not a marketplace or exchange, it is a financial free zone on Al Maryah Island, regulated by the Financial Services Regulatory Authority. The ADGM or in the ADGM rather than ADGM only in most cases.",
55015,1000143,ADIC,4,0,1,1,1,29,0,1,The National,9217,Abu Dhabi Investment Council,
54646,1000143,adidas,2,0,0,1,1,29,0,1,The National,9217,But Adidas at the start of a sentence,
34259520,1000143,Adnoc,2,0,0,1,1,21,0,1,The National,27299,"No need to spell out Abu Dhabi National Oil Company. Note that it is Adnoc, not ADNOC.",ADNOC
2976937,1000143,ADQ,2,0,0,1,1,29,0,1,The National,27299,Refer to it on first mention as Abu Dhabi holding company ADQ. Simply ADQ is fine in headlines,
36881805,1000143,adrenalin,1,0,0,1,1,23,0,1,The National,30889,,adrenaline
36881806,1000143,adviser,1,0,0,1,1,21,0,1,The National,30889,But advisory,advisor
55188,1000143,advocate (v),1,1,0,1,1,29,1,1,The National,9220,To advocate is to speak or argue for: to advocate for is therefore a tautology.,
36881808,1000143,aereoplane,1,0,0,1,1,23,0,1,The National,30889,,airplane
55189,1000143,Afghan,2,0,1,1,1,29,0,1,The National,9220,"The people are Afghans, the afghani is their currency ",
54665,1000143,afghani,1,0,0,1,1,21,0,1,The National,9217,The currency of Afghanistan. The people are Afghans.,Afghani
55193,1000143,aggravate,1,1,0,1,1,29,1,1,The National,9220,"Means make worse, not irritate or annoy.",
4799004,1000143,AgriTech,3,0,0,1,1,21,0,1,The National,27299,"AgriTech, not AgTech.",AgTech
