Date,Created timezone,Profile name,Profile URL,Profile followers,Profile ID,Post detail URL,Mentioned profiles ID,Collaborators,Content ID,Platform,Content type,Media type,Origin of the content,Title,Description,Author URL,Author ID,Author name,Content,Link URL,View on platform,Organic interactions,Total interactions,Organic interactions per 1000 followers,Interactions per 1000 followers,Grade,Last grade,Sentiment,Positive comments,Positive comments (%),Negative comments,Negative comments (%),Neutral comments,Neutral comments (%),Total reactions,Organic likes,Total comments,Save rate,Organic comments,Total shares,Deleted,Hidden,Spam,Unpublished,Saves,Engagements,Promoted post detection,Reactions - like,Reactions - love,Reactions - haha,Reactions - wow,Reactions - sad,Reactions - angry,Shared,Crosspost,Live,Crosspostable,Total reach,Paid reach,Organic reach,Total impressions,Paid impressions,Organic impressions,Impressions engagement rate,Reach engagement rate,Engaged users,Negative feedback,Lifetime post stories,Total likes,Total story likes,Total story comments,Total story shares,Post consumers,Post clicks,Photo views,Link clicks,Other clicks,Media views,Video play,Insights reactions - like,Insights reactions - love,Insights reactions - haha,Insights reactions - wow,Insights reactions - sad,Insights reactions - angry,Insights reactions,Video length (sec),Video view count,Total video view time (sec),Recorded,Views - auto-played,Views - click to play,Views - organic,Views - paid,Views - unique,Initial video views,10-second views,10-second views - auto-played,10-second views - click to play,10-second views - organic,10-second views - paid,10-second views - unique,30-second views,30-second views - auto-played,30-second views - click to play,30-second views - organic,30-second views - paid,30-second views - unique,Completed video views,Average completion (%),Average time watched (sec),Exits,Taps back,Taps forward,Completion rate,Labels,Label groups,Media tags,Insights video view count,Insights comments,Insights like count,Insights dislike count,Insights share count,Engagements - YouTube insights,Insights subscribers lost,Insights subscribers gained,Insights view time,Swipe up,Swipe down,Screenshots,Media view time,Avg. Video Views per Video
28/02/2026,UTC +04:00,The National,https://www.facebook.com/TheNationalNews,2168731,148788988477345,https://app.emplifi.io/1154579/content/feed/detail/eyJpZCI6IjE0ODc4ODk4ODQ3NzM0NV8xMzU2MjcwMTIzMTk2MDc1IiwicHJvZmlsZUlkIjoiMTQ4Nzg4OTg4NDc3MzQ1IiwibmV0d29yayI6ImZhY2Vib29rIn0=/overview,,,148788988477345_1356270123196075,facebook,post,reel,Brand's content,,,https://www.facebook.com/TheNationalNews,148788988477345,The National,The President also claimed that the US may take control over Cuba in a 'friendly takeover',,https://www.facebook.com/148788988477345_1356270123196075,,2172,,1.001507333,A,,strongly negative,32,15%,125,60%,52,25%,1861,,206,,,105,,FALSE,FALSE,,,9401,organic,1611,22,151,7,2,68,FALSE,FALSE,FALSE,FALSE,249778,0,249778,316518,0,316518,2.97%,3.76%,,,2237,1861,2033,99,105,,7162,,,7162,316518,,1778,23,154,7,4,69,2035,28,169288,3482362,,161901,7387,169288,0,169288,,,,,,,,62024,59047,2977,62024,0,60062,62026,0.542045455,15,,,,,,,,,,,,,,,,,,,,,169288
28/02/2026,UTC +04:00,The National News,https://www.tiktok.com/@thenationalnews,1547265,f7543525-1f92-513e-a59b-1ab9132d7362,https://app.emplifi.io/1154579/content/feed/detail/eyJpZCI6Ijc2MTE2MzM3MzI4MzkwODMyNzYiLCJwcm9maWxlSWQiOiJmNzU0MzUyNS0xZjkyLTUxM2UtYTU5Yi0xYWI5MTMyZDczNjIiLCJuZXR3b3JrIjoidGlrdG9rIn0=/overview,,,7611633732839083276,tiktok,post,video,Brand's content,,,,,,Trump 'not thrilled' with Iran negotiations,,https://www.tiktok.com/@thenationalnews/video/7611633732839083276?utm_campaign=tt4d_open_api&utm_source=6997404317372137474,,,,,,,,,,,,,,3428,,136,,,214,,,,,,3778,,,,,,,,,,,,158325,,,172212,,,,2.39%,,,,3428,,,,,,,,,,,,,,,,,,28,172212,1799865,,,,,,,,,,,,,,,,,,,,,,9,,,,13.06%,,,,,,,,,,,,,,,,,172212
28/02/2026,UTC +04:00,The National,https://www.facebook.com/TheNationalNews,2168731,148788988477345,https://app.emplifi.io/1154579/content/feed/detail/eyJpZCI6IjE0ODc4ODk4ODQ3NzM0NV8xMzU2MjkzMTM5ODYwNDQwIiwicHJvZmlsZUlkIjoiMTQ4Nzg4OTg4NDc3MzQ1IiwibmV0d29yayI6ImZhY2Vib29rIn0=/overview,,,148788988477345_1356293139860440,facebook,post,link,Brand's content,Why it may pay dividends for Abu Dhabi to preserve its suburban heritage | The National,,https://www.facebook.com/TheNationalNews,148788988477345,The National,'Mature trees have been tagged all over the city to protect their future. There may be a case for a similar project to determine the future of our often-humble suburban past.'Read more from Nick March,https://www.thenationalnews.com/opinion/comment/2026/02/27/abu-dhabi-architecture-heritage-uae/?utm_medium=Social&utm_source=Facebook#Echobox=1772193913,https://www.facebook.com/148788988477345_1356293139860440,,4,,0.001844397,D,,,,,,,,,4,,0,,,0,,FALSE,FALSE,,,13,organic,3,1,0,0,0,0,,,,,1912,0,1912,2590,0,2590,0.50%,0.68%,,,4,4,4,,,,9,,4,5,2590,,3,1,,,,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
28/02/2026,UTC +04:00,The National,https://www.facebook.com/TheNationalNews,2168731,148788988477345,https://app.emplifi.io/1154579/content/feed/detail/eyJpZCI6IjE0ODc4ODk4ODQ3NzM0NV8xMzU2MzM2MjEzMTg5NDY2IiwicHJvZmlsZUlkIjoiMTQ4Nzg4OTg4NDc3MzQ1IiwibmV0d29yayI6ImZhY2Vib29rIn0=/overview,,,148788988477345_1356336213189466,facebook,post,link,Brand's content,Iftars to try in Abu Dhabi this Ramadan | The National,,https://www.facebook.com/TheNationalNews,148788988477345,The National,"From generous hotel buffets to set menus with a more contemporary, global focus, Abu Dhabi’s iftar offerings cover a wide range of tastes and budgets this Ramadan.",https://www.thenationalnews.com/lifestyle/food/2026/02/04/ramadan-iftars-in-abu-dhabi/?utm_medium=Social&utm_source=Facebook#Echobox=1772190586,https://www.facebook.com/148788988477345_1356336213189466,,5,,0.002305496,D,,no sentiment,1,100%,0,0%,0,0%,4,,1,,,0,,FALSE,FALSE,,,9,organic,4,0,0,0,0,0,,,,,1556,0,1556,1981,0,1981,0.45%,0.58%,,,5,4,4,1,,,4,,3,1,1981,,4,,,,,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
28/02/2026,UTC +04:00,The National,https://twitter.com/TheNationalNews,1047269,20583993,https://app.emplifi.io/1154579/content/feed/detail/eyJpZCI6IjIwMjc1MjA3ODMwMDY3NTI4NzIiLCJwcm9maWxlSWQiOiIyMDU4Mzk5MyIsIm5ldHdvcmsiOiJ0d2l0dGVyIn0=/overview,20583993,,2027520783006752872,twitter,post,link,Brand's content,,,https://twitter.com/TheNationalNews,20583993,The National,Sheikh Khaled to make official visit to Ecuador on Sunday https://t.co/1Buk5qCzEh,,https://twitter.com/20583993/status/2027520783006752872,,16,,0.0152778,,,,,,,,,,14,,0,,,2,,,,,,73,,,,,,,,,,,,,,,3567,,3567,2.05%,,,,,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
28/02/2026,UTC +04:00,The National,https://twitter.com/TheNationalNews,1047268,20583993,https://app.emplifi.io/1154579/content/feed/detail/eyJpZCI6IjIwMjc1NDA1Nzk1NDI3NzQwODAiLCJwcm9maWxlSWQiOiIyMDU4Mzk5MyIsIm5ldHdvcmsiOiJ0d2l0dGVyIn0=/overview,20583993,,2027540579542774080,twitter,post,link,Brand's content,,,https://twitter.com/TheNationalNews,20583993,The National,How will the Afghanistan-Pakistan conflict be defused? https://t.co/9tekKyCqDe,,https://twitter.com/20583993/status/2027540579542774080,,2,,0.0019097,,,no sentiment,0,0%,0,0%,1,100%,2,,0,,,0,,,,,,22,,,,,,,,,,,,,,,1203,,1203,1.83%,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
28/02/2026,UTC +04:00,The National,https://twitter.com/TheNationalNews,1047250,20583993,https://app.emplifi.io/1154579/content/feed/detail/eyJpZCI6IjIwMjc1NTYyMzcyMjM1NTUzOTUiLCJwcm9maWxlSWQiOiIyMDU4Mzk5MyIsIm5ldHdvcmsiOiJ0d2l0dGVyIn0=/overview,20583993,,2027556237223555395,twitter,post,link,Brand's content,,,https://twitter.com/TheNationalNews,20583993,The National,Pentagon declares Anthropic AI a 'supply chain risk to national security' https://t.co/crlnBXvN3N,,https://twitter.com/20583993/status/2027556237223555395,,3,,0.0028646,,,,,,,,,,2,,0,,,1,,,,,,18,,,,,,,,,,,,,,,909,,909,1.98%,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
28/02/2026,UTC +04:00,The National,https://twitter.com/TheNationalNews,1047250,20583993,https://app.emplifi.io/1154579/content/feed/detail/eyJpZCI6IjIwMjc1NjQwODE5OTM5NDEyNzciLCJwcm9maWxlSWQiOiIyMDU4Mzk5MyIsIm5ldHdvcmsiOiJ0d2l0dGVyIn0=/overview,20583993,,2027564081993941277,twitter,post,link,Brand's content,,,https://twitter.com/TheNationalNews,20583993,The National,UN Security Council removes Jabhat Al Nusra and HTS from sanctions list https://t.co/IBBXRtWBOM,,https://twitter.com/20583993/status/2027564081993941277,,2,,0.0019098,,,,,,,,,,1,,0,,,1,,,,,,14,,,,,,,,,,,,,,,1086,,1086,1.29%,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
28/02/2026,UTC +04:00,The National,https://www.facebook.com/TheNationalNews,2168731,148788988477345,https://app.emplifi.io/1154579/content/feed/detail/eyJpZCI6IjE0ODc4ODk4ODQ3NzM0NV8xMzU2NDY0Nzc2NTA5OTQzIiwicHJvZmlsZUlkIjoiMTQ4Nzg4OTg4NDc3MzQ1IiwibmV0d29yayI6ImZhY2Vib29rIn0=/overview,,,148788988477345_1356464776509943,facebook,post,link,Brand's content,Pentagon declares Anthropic AI a 'supply chain risk to national security' | The National,,https://www.facebook.com/TheNationalNews,148788988477345,The National,US President Donald Trump demanded that all federal agencies stop using Anthropic's artificial intelligence tools after the company refused to bow to pressure to remove guardrails on its technology.,https://www.thenationalnews.com/future/technology/2026/02/27/trump-anthropic-ai-dario-amodei/?utm_medium=Social&utm_source=Facebook#Echobox=1772245483,https://www.facebook.com/148788988477345_1356464776509943,,7,,0.003227694,D,,no sentiment,1,100%,0,0%,0,0%,5,,1,,,1,,FALSE,FALSE,,,30,organic,4,0,0,0,0,1,,,,,2648,0,2648,3417,0,3417,0.88%,1.13%,,,7,5,5,1,1,,23,,8,15,3417,,4,,,,,1,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
28/02/2026,UTC +00:00,The National News,https://www.linkedin.com/company/thenationalnews,320419,535663,https://app.emplifi.io/1154579/content/feed/detail/eyJpZCI6InVybjpsaTpzaGFyZTo3NDMzMzM5Mzg1NjE5NzcxMzkyIiwicHJvZmlsZUlkIjoidXJuOmxpOm9yZ2FuaXphdGlvbjo1MzU2NjMiLCJuZXR3b3JrIjoibGlua2VkaW4ifQ==/overview,,,7433339385619771392,linkedin,post,link,Brand's content,Pentagon declares Anthropic AI a 'supply chain risk to national security' | The National,CEO Dario Amodei has refused White House demands to lift AI guardrails,https://www.linkedin.com/company/thenationalnews,535663,The National News,"New statement from Anthropic: ""No amount of intimidation or punishment from the Department of War will change our position on mass domestic surveillance or fully autonomous weapons. We will challenge any supply chain risk designation in court."" Cody Sigel Combs reports https://lnkd.in/eNR-V9Gy",https://media.licdn.com/dms/image/sync/v2/D4E27AQGIwIk-jG8FVw/articleshare-shrink_1280_800/B4EZyiGYrLIsAQ-/0/1772246109317?e=1775437200&v=beta&t=V7T2gVPLSAkpthxBZ9BS4r9xBivFbqnZK0K10ICwYoc,https://www.linkedin.com/feed/update/urn:li:share:7433339385619771392/,,10,,0.031209136,,,,,,,,,,10,10,0,,0,4,,,,,,26,,,,,,,,,,,,,,,2548,,2548,1.02%,,,,,10,,,,,12,,,,,,,,,,,,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,0
