name,slug,description,variations,isPrimary
US election 2024,2024-united-states-presidential-election,The 2024 US presidential election secured a second term for Donald Trump,"US elections, American election 2024, Presidential election 2024, Trump election, 2024 election",0
A Closer Look,a-closer-look,We take an in-depth look at the week's most talked-about stories,"Closer Look, In-depth analysis",0
A-levels,a-levels,"All you need to know about A-level exams, from results day to pupil reactions","A levels, Advanced levels, A level exams, UK exams",0
Abdalla Hamdok,abdalla-hamdok,Abdalla Hamdok is the former prime minister of Sudan,"Hamdok, PM Hamdok, Sudan PM",0
Abdel Fattah Al Burhan,abdel-fattah-al-burhan,Abdel Fattah Al Burhan is a Sudanese general and commander-in-chief of the country's armed forces,"Al Burhan, Burhan, SAF commander, Sudan general",0
Abdel Fattah El Sisi,abdel-fattah-el-sisi,Abdel Fattah El Sisi is the sixth and current President of Egypt,"El Sisi, Egyptian President, Sisi, President Sisi",0
Abiy Ahmed,abiy-ahmed,"The latest news on Abiy Ahmed, the current Prime Minister of Ethiopia","PM Abiy, Ethiopian PM, Abiy, Prime Minister Ahmed",0
Abraaj,abraaj,Abraaj Group was the Middle East's largest private equity company before it collapsed in 2018. Its founder was Arif Naqvi,"Abraaj Group, Arif Naqvi, Abraaj Capital",0
Abraham Accords,abraham-accords,"The Arabham Accords, signed in 2020, established relations between Israel and countries including the UAE","Abraham Agreement, Israel-UAE accord, Abraham peace deal, normalisation accords",0
Abu Dhabi,abu-dhabi,Read the latest news and developments from the capital of the UAE,"AD, UAE Capital, Abu Dhabi emirate, capital of UAE",0
Abu Dhabi Airport,abu-dhabi-airport,"The latest news on Zayed International Airport (AUH), Eithad Airways's primary hub","AUH, Zayed International Airport, Abu Dhabi International Airport, Etihad hub",0
Abu Dhabi Art,abu-dhabi-art,The latest on the UAE capital's flagship art fair and its year-round programme of exhibitions and public events,"AD Art, Abu Dhabi art fair",0
Abu Dhabi Global Market,abu-dhabi-global-market,Latest news on ADGM - Abu Dhabi's international financial centre,"ADGM, Abu Dhabi financial centre, ADGM free zone",0
